rank,name,surface_km2
238,ALA,1546.0768845034854
239,ALA,1544.6590436033441
240,ALA,1538.0527024888418
241,ALA,1530.0741315945736
242,ALA,1527.9247571281585
243,ALA,1522.2732040498306
244,ALA,1502.235147873714
245,ALA,1500.4989839284092
246,ALA,1491.15850074088
247,ALA,1488.2903257292892
248,ALA,1484.5349039948462
249,ALA,1454.9678234228436
250,ALA,1453.3425578830497
251,ALA,1442.951502862888
252,ALA,1432.69703796595
253,ALA,1423.2150896871499
254,ALA,1403.6830618386718
255,ALA,1396.6143460943351
256,ALA,1392.366434185234
257,ALA,1364.3075487572216
258,ALA,1355.5916538868394
259,ALA,1352.0326477913713
260,ALA,1349.5655481696815
261,ALA,1329.6569170502871
262,ALA,1328.628906924552
263,ALA,1326.5623991073073
264,ALA,1313.492467897475
265,ALA,1305.3300245192222
266,ALA,1291.4679892072775
267,ALA,1274.3764812667305
268,ALA,1266.6164031684
269,ALA,1264.5175898608036
270,ALA,1259.3306613896025
271,ALA,1247.6406036103654
272,ALA,1245.9785937877894
273,ALA,1245.8349783371555
274,ALA,1233.9097275121296
275,ALA,1221.3208998901255
276,ALA,1217.5555064678092
277,ALA,1215.3553675876221
278,ALA,1214.887660467867
279,ALA,1201.712041525955
280,ALA,1172.2032801553464
281,ALA,1170.5235681472402
282,ALA,1162.6092041114814
283,ALA,1158.0598021648482
284,ALA,1151.3718512482158
285,ALA,1145.4493545461967
286,ALA,1145.4211849308012
287,ALA,1134.5508335808904
288,ALA,1133.9358201934274
289,ALA,1116.3762385203881
290,ALA,1111.9972947374974
291,ALA,1107.184031116133
292,ALA,1104.7828939087456
293,ALA,1099.4229913492736
294,ALA,1089.8169568132132
295,ALA,1087.9321306983259
296,ALA,1079.72203898555
297,ALA,1072.4449164045502
298,ALA,1069.3859948757927
299,ALA,1061.0348817064043
300,ALA,1055.0406390062503
301,ALA,1053.1299080259018
302,ALA,1041.7044706420374
303,ALA,1037.62849141325
304,ALA,1031.4642651884728
305,ALA,1021.6097055255257
306,ALA,1009.5748796247098
307,ALA,1006.7438209146563
308,ALA,1005.2476000940567
309,ALA,1004.7929238345947
310,ALA,1001.0123718419553
311,ALA,998.1393820715464
312,ALA,995.065103981398
313,ALA,991.2840155442276
314,ALA,987.0941574686516
315,ALA,987.0832756624803
316,ALA,985.1456839578627
317,ALA,976.5341042347313
318,ALA,970.1686224866867
319,ALA,954.7586703773244
320,ALA,948.2859093454554
321,ALA,947.9061963953051
322,ALA,947.8461786869824
323,ALA,945.124403275482
324,ALA,940.1735202370073
325,ALA,936.462332525678
326,ALA,935.1702956312413
327,ALA,934.220885156496
328,ALA,928.1602355756004
329,ALA,925.7347407782054
330,ALA,917.1093992653784
331,ALA,917.0201736377568
332,ALA,914.7243282039296
333,ALA,910.0095384033427
334,ALA,906.1508153390034
335,ALA,904.9248458866592
336,ALA,903.715796489417
337,ALA,903.3598215713499
338,ALA,903.1982201449713
339,ALA,902.9813798744624
340,ALA,898.5525149133757
341,ALA,898.4897085725029
342,ALA,897.6252242021851
343,ALA,891.2993684414557
344,ALA,889.0459422355501
345,ALA,878.5184858650281
346,ALA,876.2745908456681
347,ALA,876.0854081982205
348,ALA,875.5093740527661
349,ALA,870.9879101718802
350,ALA,869.210744920618
351,ALA,866.5529258822307
352,ALA,858.5239574305681
353,ALA,857.6643960942987
354,ALA,854.7971097218817
355,ALA,851.1518007179121
356,ALA,847.7606200493559
357,ALA,844.9432068738431
358,ALA,842.0770167588342
359,ALA,839.5118357233217
360,ALA,834.9700657399609
361,ALA,831.2821536386467
362,ALA,830.0931747391148
363,ALA,829.1817043614653
364,ALA,824.6107838485983
365,ALA,820.4262049812289
366,ALA,818.5712661256371
367,ALA,817.8937671162681
368,ALA,817.4190327571608
369,ALA,813.8685802059973
370,ALA,812.8367165253993
